Ref;Karşıt;DINOv2-Base (%);DINOv2-Large (%);Dists (%);SSIM (%);OpenCLIP (%)
I1.bmp;I1D1L1.bmp;100.00;100.00;99.93;99.98;100.00
I1.bmp;I1D1L2.bmp;99.70;99.17;94.15;97.12;99.52
I1.bmp;I1D1L3.bmp;99.45;97.12;88.10;93.62;98.29
I1.bmp;I1D1L4.bmp;76.89;61.71;75.73;83.99;94.58
I1.bmp;I1D1L5.bmp;62.40;56.85;62.32;76.60;92.20
I1.bmp;I1D2L1.bmp;99.69;98.45;96.95;97.11;99.18
I1.bmp;I1D2L2.bmp;99.05;96.91;93.40;92.21;97.00
I1.bmp;I1D2L3.bmp;98.02;94.46;85.69;77.27;95.75
I1.bmp;I1D2L4.bmp;95.46;90.92;76.89;54.01;94.92
I1.bmp;I1D2L5.bmp;94.60;87.98;70.02;35.99;91.53
I1.bmp;I1D3L1.bmp;99.87;99.56;98.64;98.28;99.46
I1.bmp;I1D3L2.bmp;99.59;98.69;96.52;96.43;98.74
I1.bmp;I1D3L3.bmp;98.69;95.67;88.16;83.69;96.19
I1.bmp;I1D3L4.bmp;96.19;91.90;78.06;57.76;94.99
I1.bmp;I1D3L5.bmp;94.22;89.21;70.79;39.08;93.17
I1.bmp;I1D4L1.bmp;99.80;99.65;97.86;97.41;99.73
I1.bmp;I1D4L2.bmp;99.95;99.92;99.21;99.12;99.91
I1.bmp;I1D4L3.bmp;99.95;99.93;99.15;98.94;99.89
I1.bmp;I1D4L4.bmp;99.84;99.72;97.71;96.08;99.63
I1.bmp;I1D4L5.bmp;99.25;98.99;93.66;81.98;98.73
I1.bmp;I1D5L1.bmp;99.92;99.87;97.32;96.63;99.84
I1.bmp;I1D5L2.bmp;98.87;98.05;88.34;92.19;98.90
I1.bmp;I1D5L3.bmp;96.11;94.84;82.74;87.77;94.95
I1.bmp;I1D5L4.bmp;94.89;92.74;76.81;84.01;92.38
I1.bmp;I1D5L5.bmp;94.65;89.19;71.85;80.73;92.67
I1.bmp;I1D6L1.bmp;99.93;99.83;99.48;98.17;99.96
I1.bmp;I1D6L2.bmp;99.66;99.41;98.23;98.87;99.85
I1.bmp;I1D6L3.bmp;93.37;90.40;86.38;90.58;96.60
I1.bmp;I1D6L4.bmp;96.16;92.28;89.77;93.61;98.12
I1.bmp;I1D6L5.bmp;92.81;89.05;83.80;88.21;94.22
I1.bmp;I1D7L1.bmp;99.94;99.71;99.31;99.75;99.70
I1.bmp;I1D7L2.bmp;98.74;97.56;93.15;96.40;95.93
I1.bmp;I1D7L3.bmp;98.06;96.03;90.65;95.15;93.65
I1.bmp;I1D7L4.bmp;96.12;92.76;84.27;92.07;91.18
I1.bmp;I1D7L5.bmp;94.61;90.28;78.65;87.69;89.88
I1.bmp;I1D8L1.bmp;100.00;100.00;100.00;100.00;100.00
I1.bmp;I1D8L2.bmp;98.99;98.44;93.86;96.53;99.24
I1.bmp;I1D8L3.bmp;95.55;90.58;85.43;91.31;95.92
I1.bmp;I1D8L4.bmp;95.44;89.50;82.42;88.94;92.92
I1.bmp;I1D8L5.bmp;92.73;86.10;78.87;86.01;90.81
I1.bmp;I1D9L1.bmp;99.98;99.88;99.70;99.64;99.94
I1.bmp;I1D9L2.bmp;98.44;98.15;95.40;96.38;98.65
I1.bmp;I1D9L3.bmp;97.33;96.12;92.91;95.15;98.14
I1.bmp;I1D9L4.bmp;96.60;93.96;86.28;92.09;93.92
I1.bmp;I1D9L5.bmp;94.75;90.43;79.65;87.69;92.90
I2.bmp;I2D1L1.bmp;99.98;99.97;99.78;99.72;99.94
I2.bmp;I2D1L2.bmp;99.06;98.17;88.85;84.97;98.75
I2.bmp;I2D1L3.bmp;98.09;97.03;81.42;74.77;96.30
I2.bmp;I2D1L4.bmp;90.61;80.70;71.00;60.86;89.42
I2.bmp;I2D1L5.bmp;70.53;60.48;58.82;53.94;78.80
I2.bmp;I2D2L1.bmp;99.87;99.69;98.80;98.27;99.67
I2.bmp;I2D2L2.bmp;99.42;98.95;96.97;95.44;98.54
I2.bmp;I2D2L3.bmp;98.32;94.27;91.90;85.09;95.28
I2.bmp;I2D2L4.bmp;95.51;90.62;84.44;65.96;91.35
I2.bmp;I2D2L5.bmp;92.66;86.59;76.75;47.59;89.36
I2.bmp;I2D3L1.bmp;99.95;99.86;99.52;99.01;99.76
I2.bmp;I2D3L2.bmp;99.86;99.40;98.66;97.90;99.11
I2.bmp;I2D3L3.bmp;98.94;96.82;93.61;89.80;95.83
I2.bmp;I2D3L4.bmp;95.47;90.31;85.14;69.39;92.28
I2.bmp;I2D3L5.bmp;89.88;86.04;78.70;51.97;91.95
I2.bmp;I2D4L1.bmp;99.47;99.27;97.81;97.58;99.06
I2.bmp;I2D4L2.bmp;99.87;99.78;99.35;99.29;99.81
I2.bmp;I2D4L3.bmp;99.88;99.33;99.33;99.33;99.70
I2.bmp;I2D4L4.bmp;99.50;97.40;98.22;97.78;99.01
I2.bmp;I2D4L5.bmp;97.86;93.37;94.99;91.86;97.33
I2.bmp;I2D5L1.bmp;99.69;99.36;93.54;85.89;99.61
I2.bmp;I2D5L2.bmp;96.77;89.83;84.66;74.62;98.25
I2.bmp;I2D5L3.bmp;89.67;81.47;79.04;67.35;94.70
I2.bmp;I2D5L4.bmp;82.88;76.45;71.66;62.44;88.63
I2.bmp;I2D5L5.bmp;72.53;70.71;62.15;58.68;80.14
I2.bmp;I2D6L1.bmp;99.54;99.20;98.23;92.76;99.80
I2.bmp;I2D6L2.bmp;99.22;98.34;94.16;93.15;99.48
I2.bmp;I2D6L3.bmp;94.37;85.75;79.75;71.84;94.68
I2.bmp;I2D6L4.bmp;95.75;89.16;83.78;75.82;95.92
